Reference,Qty,Description,Part Number,Manufacturer,Digikey
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13",50,CAP CER 0.1UF 50V X7R 0603,CL10B104KB8NNNC,"	Samsung Electro-Mechanics","	1276-1000-1-ND"
"C14, C15, C16, C17, C19",10,"	CAP CER 10UF 16V X5R 1206",C3216X5R1C106M160AA,TDK Corporation,"	445-1426-1-ND"
C18,1,CAP ALUM 100UF 20% 10V SMD,UWR1A101MCL1GB,"	Nichicon","	493-14561-6-ND"
"D1, D2, D3",5,TVS DIODE 5V 15V SLP2510P8,RCLAMP0524PATCT,"	Semtech Corporation",RCLAMP0524PACT-ND
J1,1,CONN FFC FPC 20POS 0.50MM R/A,5034802000,"	Molex",WM1445CT-ND
J2,1,CONN RCPT 1.4 HDMI 19POS SMD R/A,10029449-111RLF,Amphenol ICC (FCI),609-4614-1-ND
JP1,1,CONN HEADER VERT 5POS 2.54MM,PH1-05-UA,Adam Tech,2057-PH1-05-UA-ND
"L1, L2, L3, L4",10,"	FERRITE BEAD 220 OHM 0603 1LN",MPZ1608S221ATA00,TDK Corporation,445-1565-1-ND
LED1,5,"	LED GREEN CLEAR 0603 SMD",150060VS75000,Würth Elektronik,732-4980-1-ND
"R1, R3, R4, R7, R8, R9, R10, R11",50,RES SMD 2K OHM 1% 1/10W 0603,ERJ-3EKF2001V,"	Panasonic Electronic Components",P2.00KHCT-ND
"R13, R14, R15, R16",10,"	RES ARRAY 4 RES 33 OHM 0804","	YC124-JR-0733RL",Yageo,YC124J-33CT-ND
"R2, R6, R12, R17",50,"	RES SMD 887 OHM 1% 1/10W 0603",ERJ-3EKF8870V,"	Panasonic Electronic Components",P887HCT-ND
R5,50,RES 100 OHM 1% 1/10W 0603 SMD,ERJ-U03F1000V,Panasonic Electronic Components,10-ERJ-U03F1000VCT-ND
SPACER,4,ROUND SPACER 3MM HEIGHT,005419000014,Essentra Components,"	RPC3399-ND"
U1,1,"	IC MCU 32BIT 32KB FLASH 20TSSOP",STM32F070F6P6TR,STMicroelectronics,497-17354-1-ND
U2,1,ADV7511,ADV7511KSTZ,Analog Devices,
U3,1,"	IC PWR SWITCH P-CHAN 1:1 SOT23-5",MIC2091-1YM5-TR,Microchip Technology,576-3891-1-ND
VREG1,1,IC REG LINEAR 1.8V/3.3V SOT26,AP7312-1833W6-7,Diodes Incorporated,AP7312-1833W6-7DICT-ND
